condition,detection_reasons,expelled,expulsion_event_index,expulsion_round,family,intensity,scenario_id
C0_naive_reputation,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed01
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed01
C0_naive_reputation,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed02
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed02
C0_naive_reputation,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed03
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed03
C0_naive_reputation,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed04
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed04
C0_naive_reputation,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed05
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed05
C0_naive_reputation,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed01
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed01
C0_naive_reputation,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed02
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed02
C0_naive_reputation,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed03
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed03
C0_naive_reputation,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed04
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed04
C0_naive_reputation,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed05
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed05
C0_naive_reputation,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed01
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed01
C0_naive_reputation,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed02
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed02
C0_naive_reputation,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed03
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed03
C0_naive_reputation,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed04
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed04
C0_naive_reputation,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed05
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed05
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed01
C1_vukzero_accountability,"two_node_wash_trade,rug_pull_or_reward_redirect",True,15,12,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed01
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed02
C1_vukzero_accountability,"two_node_wash_trade,rug_pull_or_reward_redirect",True,15,12,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed02
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed03
C1_vukzero_accountability,"two_node_wash_trade,rug_pull_or_reward_redirect",True,15,12,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed03
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed04
C1_vukzero_accountability,"two_node_wash_trade,rug_pull_or_reward_redirect",True,15,12,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed04
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed05
C1_vukzero_accountability,"two_node_wash_trade,rug_pull_or_reward_redirect",True,15,12,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed05
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed01
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed01
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed02
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed02
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed03
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed03
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed04
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed04
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed05
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed05
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed01
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed01
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed02
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed02
C0_naive_reputation,,False,,,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed03
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed03
