condition,detection_reasons,expelled,expulsion_event_index,expulsion_round,family,intensity,scenario_id
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed01
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed02
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed03
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed04
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed05
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed01
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed02
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed03
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed04
C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed05
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed01
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed02
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed03
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed04
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,medium,R2_wash_trading_self_donation_medium_seed05
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed01
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed02
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed03
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed04
C1_vukzero_accountability,"two_node_wash_trade,three_node_wash_trade",True,15,8,R2_wash_trading_self_donation,high,R2_wash_trading_self_donation_high_seed05
C1_vukzero_accountability,"collusive_endorsement_cluster,misleading_donation_claim",True,24,14,R3_collusive_endorsements,medium,R3_collusive_endorsements_medium_seed01
C1_vukzero_accountability,"collusive_endorsement_cluster,misleading_donation_claim",True,24,14,R3_collusive_endorsements,medium,R3_collusive_endorsements_medium_seed02
C1_vukzero_accountability,"collusive_endorsement_cluster,misleading_donation_claim",True,24,14,R3_collusive_endorsements,medium,R3_collusive_endorsements_medium_seed03
C1_vukzero_accountability,"collusive_endorsement_cluster,misleading_donation_claim",True,24,14,R3_collusive_endorsements,medium,R3_collusive_endorsements_medium_seed04
C1_vukzero_accountability,"collusive_endorsement_cluster,misleading_donation_claim",True,24,14,R3_collusive_endorsements,medium,R3_collusive_endorsements_medium_seed05
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,10,R3_collusive_endorsements,high,R3_collusive_endorsements_high_seed01
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,10,R3_collusive_endorsements,high,R3_collusive_endorsements_high_seed02
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,10,R3_collusive_endorsements,high,R3_collusive_endorsements_high_seed03
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,10,R3_collusive_endorsements,high,R3_collusive_endorsements_high_seed04
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,10,R3_collusive_endorsements,high,R3_collusive_endorsements_high_seed05
C1_vukzero_accountability,collusive_endorsement_cluster,True,18,11,R4_delayed_rug_pull,medium,R4_delayed_rug_pull_medium_seed01
C1_vukzero_accountability,collusive_endorsement_cluster,True,18,11,R4_delayed_rug_pull,medium,R4_delayed_rug_pull_medium_seed02
C1_vukzero_accountability,collusive_endorsement_cluster,True,18,11,R4_delayed_rug_pull,medium,R4_delayed_rug_pull_medium_seed03
C1_vukzero_accountability,collusive_endorsement_cluster,True,18,11,R4_delayed_rug_pull,medium,R4_delayed_rug_pull_medium_seed04
C1_vukzero_accountability,collusive_endorsement_cluster,True,18,11,R4_delayed_rug_pull,medium,R4_delayed_rug_pull_medium_seed05
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,12,R4_delayed_rug_pull,high,R4_delayed_rug_pull_high_seed01
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,12,R4_delayed_rug_pull,high,R4_delayed_rug_pull_high_seed02
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,12,R4_delayed_rug_pull,high,R4_delayed_rug_pull_high_seed03
C1_vukzero_accountability,collusive_endorsement_cluster,True,19,12,R4_delayed_rug_pull,high,R4_delayed_rug_pull_high_seed04
