condition,errors,log_chain_valid,log_path,num_log_entries,scenario_id,tamper_suppressed_history,tampering_attempted,tampering_detected
C0_naive_reputation,,,,0,R1_fake_microtask_claims_low_seed01,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed01/accountability.log,16,R1_fake_microtask_claims_low_seed01,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_low_seed02,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed02/accountability.log,16,R1_fake_microtask_claims_low_seed02,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_low_seed03,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed03/accountability.log,16,R1_fake_microtask_claims_low_seed03,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_low_seed04,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed04/accountability.log,16,R1_fake_microtask_claims_low_seed04,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_low_seed05,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed05/accountability.log,16,R1_fake_microtask_claims_low_seed05,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_medium_seed01,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_medium_seed01/accountability.log,16,R1_fake_microtask_claims_medium_seed01,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_medium_seed02,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_medium_seed02/accountability.log,16,R1_fake_microtask_claims_medium_seed02,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_medium_seed03,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_medium_seed03/accountability.log,16,R1_fake_microtask_claims_medium_seed03,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_medium_seed04,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_medium_seed04/accountability.log,16,R1_fake_microtask_claims_medium_seed04,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_medium_seed05,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_medium_seed05/accountability.log,16,R1_fake_microtask_claims_medium_seed05,False,False,False
C0_naive_reputation,,,,0,R1_fake_microtask_claims_high_seed01,False,False,False
C1_vukzero_accountability,,True,results/sq2_accountability_factorial_20260609T225417Z/naive/trials/C1_vukzero_accountability/R1_fake_microtask_claims_high_seed01/accountability.log,16,R1_fake_microtask_claims_high_seed01,False,False,False
