scenario_id,condition,round,event_index,agent_id,reputation_score,suspicion_score,is_expelled
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H0,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H1,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H2,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H3,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H4,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H5,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H6,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,H7,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,HA0,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,HA1,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,HA2,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,M0,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,S1,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,1,S2,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H0,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H1,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H2,1.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H3,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H4,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H5,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H6,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,H7,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,HA0,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,HA1,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,HA2,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,M0,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,S1,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,1,2,S2,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H0,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H1,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H2,1.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H3,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H4,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H5,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H6,0.0,0,False
R1_fake_microtask_claims_medium_seed01,C1_vukzero_accountability,2,3,H7,0.0,0,False
