attacker_strategy,censored,collusive_endorsements_accepted,condition,detection_reasons,expelled,expulsion_event_index,expulsion_round,fallout_broadcasts,false_positive_agents,false_positive_count,false_positive_rate,family,final_attacker_suspicion,fraudulent_microtasks_accepted,fraudulent_reputation_gain,honest_agent_count,intensity,pattern_detection,reputation_lag_events,reputation_lag_rounds,scenario_id,seed,signed_log,threshold,wash_trades_accepted
naive,False,0,B1_rules_mutable,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,True,1,1,R1_fake_microtask_claims_low_seed01,1,False,5,0
naive,False,0,B2_signed_nopattern,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,False,1,1,R1_fake_microtask_claims_low_seed01,1,True,5,0
naive,False,0,C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,True,1,1,R1_fake_microtask_claims_low_seed01,1,True,5,0
naive,False,0,B1_rules_mutable,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,True,1,1,R1_fake_microtask_claims_low_seed02,2,False,5,0
naive,False,0,B2_signed_nopattern,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,False,1,1,R1_fake_microtask_claims_low_seed02,2,True,5,0
naive,False,0,C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,True,1,1,R1_fake_microtask_claims_low_seed02,2,True,5,0
naive,False,0,B1_rules_mutable,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,True,1,1,R1_fake_microtask_claims_low_seed03,3,False,5,0
naive,False,0,B2_signed_nopattern,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,False,1,1,R1_fake_microtask_claims_low_seed03,3,True,5,0
naive,False,0,C1_vukzero_accountability,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,True,1,1,R1_fake_microtask_claims_low_seed03,3,True,5,0
naive,False,0,B1_rules_mutable,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,True,1,1,R1_fake_microtask_claims_low_seed04,4,False,5,0
naive,False,0,B2_signed_nopattern,"fake_microtask_claim,duplicate_microtask_evidence",True,14,7,2,,0,0.0,R1_fake_microtask_claims,9,2,2.0,8,low,False,1,1,R1_fake_microtask_claims_low_seed04,4,True,5,0
