condition,detection_reasons,expelled,expulsion_event_index,expulsion_round,family,intensity,scenario_id
B1_rules_mutable,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed01
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed01
B1_rules_mutable,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed02
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed02
B1_rules_mutable,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed03
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed03
B1_rules_mutable,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed04
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed04
B1_rules_mutable,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed05
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,low,R1_fake_microtask_claims_low_seed05
B1_rules_mutable,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed01
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed01
B1_rules_mutable,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed02
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed02
B1_rules_mutable,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed03
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed03
B1_rules_mutable,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed04
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed04
B1_rules_mutable,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed05
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,medium,R1_fake_microtask_claims_medium_seed05
B1_rules_mutable,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed01
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed01
B1_rules_mutable,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed02
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed02
B1_rules_mutable,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed03
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed03
B1_rules_mutable,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed04
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed04
B1_rules_mutable,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed05
C1_vukzero_accountability,,False,,,R1_fake_microtask_claims,high,R1_fake_microtask_claims_high_seed05
B1_rules_mutable,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed01
C1_vukzero_accountability,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed01
B1_rules_mutable,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed02
C1_vukzero_accountability,,False,,,R2_wash_trading_self_donation,low,R2_wash_trading_self_donation_low_seed02
